Ano,Mes,Data,Ãšltimo
2007,1,2007-01-16 07:38:10.909090816,631.0636363636363
2007,2,2007-02-14 16:48:00.000000000,666.4350000000001
2007,3,2007-03-16 01:05:27.272727296,654.1918181818181
2007,4,2007-04-15 05:42:51.428571392,679.6404761904762
2007,5,2007-05-16 00:00:00.000000000,667.5891304347825
2007,6,2007-06-15 18:17:08.571428608,655.4452380952381
2007,7,2007-07-15 22:54:32.727272704,665.6931818181819
2007,8,2007-08-16 08:20:52.173913088,665.908695652174
2007,9,2007-09-15 12:00:00.000000000,713.6025
2007,10,2007-10-15 15:39:07.826086912,756.7217391304347
2007,11,2007-11-16 01:05:27.272727296,806.550909090909
2007,12,2007-12-16 05:42:51.428571392,806.9714285714286
2008,1,2008-01-16 00:00:00.000000000,888.3291304347825
2008,2,2008-02-15 18:17:08.571428608,925.4980952380952
2008,3,2008-03-16 05:42:51.428571392,960.2666666666667
2008,4,2008-04-15 07:38:10.909090816,910.3022727272728
2008,5,2008-05-16 01:05:27.272727296,890.7886363636363
2008,6,2008-06-15 05:42:51.428571392,890.5833333333334
2008,7,2008-07-16 00:00:00.000000000,940.0434782608696
2008,8,2008-08-15 18:17:08.571428608,836.6166666666667
2008,9,2008-09-14 22:54:32.727272704,828.8613636363636
2008,10,2008-10-16 08:20:52.173913088,805.4152173913043
2008,11,2008-11-15 12:00:00.000000000,760.87
2008,12,2008-12-15 15:39:07.826086912,825.7434782608696
2009,1,2009-01-16 01:05:27.272727296,862.7545454545453
2009,2,2009-02-14 12:00:00.000000000,942.2049999999999
2009,3,2009-03-15 22:54:32.727272704,926.6636363636363
2009,4,2009-04-15 16:21:49.090909184,890.6931818181819
2009,5,2009-05-15 18:17:08.571428608,930.445238095238
2009,6,2009-06-14 22:54:32.727272704,945.7136363636364
2009,7,2009-07-16 08:20:52.173913088,935.1347826086956
2009,8,2009-08-16 05:42:51.428571392,949.8380952380952
2009,9,2009-09-15 07:38:10.909090816,998.0363636363636
2009,10,2009-10-16 01:05:27.272727296,1044.8931818181818
2009,11,2009-11-15 05:42:51.428571392,1131.7928571428572
2009,12,2009-12-16 00:00:00.000000000,1126.65
2010,1,2010-01-15 18:17:08.571428608,1117.152380952381
2010,2,2010-02-13 12:00:00.000000000,1098.8700000000001
2010,3,2010-03-15 15:39:07.826086912,1114.2826086956522
2010,4,2010-04-16 01:05:27.272727296,1149.4209090909092
2010,5,2010-05-16 05:42:51.428571392,1206.1238095238095
2010,6,2010-06-15 07:38:10.909090816,1234.1627272727271
2010,7,2010-07-16 01:05:27.272727296,1193.1218181818183
2010,8,2010-08-15 22:54:32.727272704,1217.675
2010,9,2010-09-15 16:21:49.090909184,1272.5613636363635
2010,10,2010-10-15 18:17:08.571428608,1345.0785714285714
2010,11,2010-11-14 22:54:32.727272704,1371.9386363636365
2010,12,2010-12-16 08:20:52.173913088,1392.6426086956521
2011,1,2011-01-16 05:42:51.428571392,1360.764761904762
2011,2,2011-02-13 21:36:00.000000000,1374.6
2011,3,2011-03-16 00:00:00.000000000,1423.3321739130436
2011,4,2011-04-15 18:17:08.571428608,1485.3028571428572
2011,5,2011-05-15 22:54:32.727272704,1512.4022727272727
2011,6,2011-06-15 16:21:49.090909184,1528.415
2011,7,2011-07-15 18:17:08.571428608,1574.5614285714287
2011,8,2011-08-15 15:39:07.826086912,1763.8891304347824
2011,9,2011-09-16 01:05:27.272727296,1771.6563636363637
2011,10,2011-10-16 05:42:51.428571392,1671.084285714286
2011,11,2011-11-15 07:38:10.909090816,1739.3531818181816
2011,12,2011-12-16 01:05:27.272727296,1638.3368181818184
2012,1,2012-01-15 22:54:32.727272704,1657.355909090909
2012,2,2012-02-15 00:00:00.000000000,1741.5757142857142
2012,3,2012-03-16 01:05:27.272727296,1676.4431818181818
2012,4,2012-04-15 05:42:51.428571392,1649.8185714285714
2012,5,2012-05-16 00:00:00.000000000,1587.7439130434782
2012,6,2012-06-15 18:17:08.571428608,1600.5666666666668
2012,7,2012-07-15 22:54:32.727272704,1593.5054545454548
2012,8,2012-08-16 08:20:52.173913088,1630.3321739130436
2012,9,2012-09-15 12:00:00.000000000,1745.855
2012,10,2012-10-15 15:39:07.826086912,1744.7021739130435
2012,11,2012-11-16 01:05:27.272727296,1722.9595454545454
2012,12,2012-12-16 05:42:51.428571392,1683.094285714286
2013,1,2013-01-16 00:00:00.000000000,1671.1117391304347
2013,2,2013-02-15 02:24:00.000000000,1626.909
2013,3,2013-03-15 02:24:00.000000000,1593.2455
2013,4,2013-04-14 22:54:32.727272704,1485.2736363636363
2013,5,2013-05-16 08:20:52.173913088,1416.4339130434782
2013,6,2013-06-15 12:00:00.000000000,1342.2485000000001
2013,7,2013-07-15 15:39:07.826086912,1288.1347826086956
2013,8,2013-08-16 01:05:27.272727296,1353.5136363636364
2013,9,2013-09-15 05:42:51.428571392,1350.9552380952382
2013,10,2013-10-16 00:00:00.000000000,1315.674347826087
2013,11,2013-11-15 18:17:08.571428608,1274.9538095238095
2013,12,2013-12-15 22:54:32.727272704,1221.4845454545455
2014,1,2014-01-16 08:20:52.173913088,1243.9473913043478
2014,2,2014-02-15 12:00:00.000000000,1302.5049999999999
2014,3,2014-03-16 05:42:51.428571392,1335.0319047619046
2014,4,2014-04-15 07:38:10.909090816,1298.7918181818184
2014,5,2014-05-16 01:05:27.272727296,1288.2981818181818
2014,6,2014-06-15 05:42:51.428571392,1282.677619047619
2014,7,2014-07-16 00:00:00.000000000,1311.6704347826087
2014,8,2014-08-15 18:17:08.571428608,1295.66
2014,9,2014-09-14 22:54:32.727272704,1238.0895454545455
2014,10,2014-10-16 08:20:52.173913088,1223.1108695652174
2014,11,2014-11-15 12:00:00.000000000,1176.8785
2014,12,2014-12-15 05:27:16.363636480,1199.4636363636364
2015,1,2015-01-16 01:05:27.272727296,1251.5736363636363
2015,2,2015-02-14 12:00:00.000000000,1227.083
2015,3,2015-03-15 22:54:32.727272704,1179.5522727272728
2015,4,2015-04-15 16:21:49.090909184,1200.3027272727272
2015,5,2015-05-15 18:17:08.571428608,1199.0742857142857
2015,6,2015-06-14 22:54:32.727272704,1182.3913636363636
2015,7,2015-07-16 08:20:52.173913088,1130.6834782608696
2015,8,2015-08-16 05:42:51.428571392,1119.540476190476
2015,9,2015-09-15 07:38:10.909090816,1125.32
2015,10,2015-10-16 01:05:27.272727296,1157.875
2015,11,2015-11-15 05:42:51.428571392,1084.9895238095237
2015,12,2015-12-16 00:00:00.000000000,1068.9421739130435
2016,1,2016-01-15 18:17:08.571428608,1096.5366666666666
2016,2,2016-02-14 05:42:51.428571392,1201.6028571428571
2016,3,2016-03-16 00:00:00.000000000,1243.8191304347827
2016,4,2016-04-15 18:17:08.571428608,1242.182857142857
2016,5,2016-05-15 22:54:32.727272704,1256.4645454545455
2016,6,2016-06-15 16:21:49.090909184,1276.245909090909
2016,7,2016-07-15 18:17:08.571428608,1339.8090476190475
2016,8,2016-08-15 15:39:07.826086912,1338.4904347826086
2016,9,2016-09-16 01:05:27.272727296,1326.5931818181818
2016,10,2016-10-16 05:42:51.428571392,1265.91
2016,11,2016-11-15 07:38:10.909090816,1234.0659090909091
2016,12,2016-12-16 01:05:27.272727296,1150.4140909090909
2017,1,2017-01-15 22:54:32.727272704,1192.359090909091
2017,2,2017-02-14 07:12:00.000000000,1235.1385
2017,3,2017-03-16 08:20:52.173913088,1231.3095652173913
2017,4,2017-04-15 12:00:00.000000000,1271.0615
2017,5,2017-05-15 15:39:07.826086912,1245.6734782608694
2017,6,2017-06-16 01:05:27.272727296,1260.040909090909
2017,7,2017-07-16 05:42:51.428571392,1237.5457142857142
2017,8,2017-08-16 00:00:00.000000000,1284.3278260869565
2017,9,2017-09-15 18:17:08.571428608,1315.3361904761905
2017,10,2017-10-15 22:54:32.727272704,1280.9072727272726
2017,11,2017-11-15 16:21:49.090909184,1282.090909090909
2017,12,2017-12-15 18:17:08.571428608,1266.92
2018,1,2018-01-15 15:39:07.826086912,1331.0260869565216
2018,2,2018-02-14 16:48:00.000000000,1331.7795
2018,3,2018-03-15 09:08:34.285714176,1326.3885714285714
2018,4,2018-04-15 05:42:51.428571392,1335.0233333333333
2018,5,2018-05-16 00:00:00.000000000,1303.3095652173913
2018,6,2018-06-15 18:17:08.571428608,1280.3780952380953
2018,7,2018-07-15 22:54:32.727272704,1237.7854545454545
2018,8,2018-08-16 08:20:52.173913088,1200.34
2018,9,2018-09-15 12:00:00.000000000,1198.034
2018,10,2018-10-15 15:39:07.826086912,1215.3330434782608
2018,11,2018-11-16 01:05:27.272727296,1220.8295454545455
2018,12,2018-12-15 19:12:00.000000000,1251.8505
2019,1,2019-01-16 00:00:00.000000000,1292.3460869565217
2019,2,2019-02-15 02:24:00.000000000,1319.068
2019,3,2019-03-15 18:17:08.571428608,1300.8228571428572
2019,4,2019-04-14 18:17:08.571428608,1286.24
2019,5,2019-05-16 08:20:52.173913088,1284.0930434782608
2019,6,2019-06-15 12:00:00.000000000,1361.6825000000001
2019,7,2019-07-15 15:39:07.826086912,1415.7152173913043
2019,8,2019-08-16 01:05:27.272727296,1503.4699999999998
2019,9,2019-09-15 05:42:51.428571392,1508.2285714285713
2019,10,2019-10-16 00:00:00.000000000,1494.9982608695652
2019,11,2019-11-15 18:17:08.571428608,1470.2357142857143
2019,12,2019-12-15 22:54:32.727272704,1482.765
2020,1,2020-01-16 08:20:52.173913088,1559.5991304347826
2020,2,2020-02-15 12:00:00.000000000,1595.558
2020,3,2020-03-15 22:54:32.727272704,1591.8818181818183
2020,4,2020-04-15 16:21:49.090909184,1686.4568181818183
2020,5,2020-05-15 18:17:08.571428608,1718.7504761904763
2020,6,2020-06-14 22:54:32.727272704,1735.8790909090908
2020,7,2020-07-16 08:20:52.173913088,1846.6026086956522
2020,8,2020-08-16 05:42:51.428571392,1970.0623809523809
2020,9,2020-09-15 07:38:10.909090816,1923.2186363636363
2020,10,2020-10-16 01:05:27.272727296,1899.755
2020,11,2020-11-15 05:42:51.428571392,1865.4466666666665
2020,12,2020-12-16 00:00:00.000000000,1860.1273913043478
2021,1,2021-01-15 18:17:08.571428608,1866.2523809523811
2021,2,2021-02-13 12:00:00.000000000,1808.087
2021,3,2021-03-15 15:39:07.826086912,1721.4065217391303
2021,4,2021-04-16 01:05:27.272727296,1759.0172727272727
2021,5,2021-05-16 05:42:51.428571392,1852.4895238095237
2021,6,2021-06-15 07:38:10.909090816,1831.8922727272727
2021,7,2021-07-16 01:05:27.272727296,1805.6463636363637
2021,8,2021-08-15 22:54:32.727272704,1786.16
2021,9,2021-09-15 16:21:49.090909184,1777.2777272727274
2021,10,2021-10-15 18:17:08.571428608,1776.2995238095239
2021,11,2021-11-14 22:54:32.727272704,1817.9027272727274
2021,12,2021-12-16 08:20:52.173913088,1792.5017391304348
2022,1,2022-01-16 05:42:51.428571392,1815.9114285714286
2022,2,2022-02-13 21:36:00.000000000,1859.0279999999998
2022,3,2022-03-16 00:00:00.000000000,1951.525652173913
2022,4,2022-04-15 18:17:08.571428608,1936.9942857142855
2022,5,2022-05-15 22:54:32.727272704,1848.0818181818183
2022,6,2022-06-15 16:21:49.090909184,1836.765
2022,7,2022-07-15 18:17:08.571428608,1736.4657142857143
2022,8,2022-08-15 15:39:07.826086912,1763.0695652173913
2022,9,2022-09-16 01:05:27.272727296,1680.7286363636363
2022,10,2022-10-16 05:42:51.428571392,1665.6185714285714
2022,11,2022-11-15 07:38:10.909090816,1729.2072727272725
2022,12,2022-12-16 01:05:27.272727296,1797.4627272727273
